product,tpv,share
pos,715884186.96,0.7148977817599392
pix,136138919.27,0.13595133566311962
link,87061957.94,0.08694199668145597
tap,61422214.36,0.061337581687917614
bank_slip,872506.42,0.0008713042075675267
