installments,tpv,share
10,149041492.76,0.20635231425180248
1,144918748.78,0.20064425439822453
12,139742074.57,0.19347699725674336
6,63333693.04,0.08768735395023346
3,60752800.839999996,0.08411403306863155
5,45244929.92,0.06264293133581884
4,44360260.06,0.061418079990202074
2,43303466.26,0.05995491800571957
8,18652142.05,0.025824437252307483
7,7257199.34,0.010047805151865506
9,3743883.14,0.005183515918425139
11,1916434.28,0.0026533594200260266
